"","ID","GB_ACC","Representative.Public.ID","Gene.Title","Gene.Symbol","ENTREZ_GENE_ID","GSM9093","GSM9094","GSM9095","GSM9096","GSM9097"
"41","200020_at","NM_007375","NM_007375","TAR DNA binding protein","TARDBP","23435","347.2","376.1","446.5","431.9","491.8"
"42","200021_at","NM_005507","NM_005507","cofilin 1 (non-muscle)","CFL1","1072","6523.1","6164.8","4701.2","6408.8","6997.2"
"43","200022_at","NM_000979","NM_000979","ribosomal protein L18","RPL18","6141","2742","3465","3075.8","3184.3","4393.4"
"44","200023_s_at","NM_003754","NM_003754","eukaryotic translation initiation factor 3, subunit F","EIF3F","8665","1482.9","1063.4","872.4","928.2","1214.2"
"45","200024_at","NM_001009","NM_001009","ribosomal protein S5","RPS5","6193","2551.7","3120.1","3422.3","2849.9","3151.1"
"46","200025_s_at","NM_000988","NM_000988","ribosomal protein L27","RPL27","6155","5047.3","5177","5768.9","4862.6","5625.1"
"47","200026_at","NM_000995","NM_000995","ribosomal protein L34","RPL34","6164","2870.1","8135.7","8237.3","7205.6","8325.9"
"48","200027_at","NM_004539","NM_004539","asparaginyl-tRNA synthetase","NARS","4677","627.1","774.8","820","776.6","766.2"
"49","200028_s_at","NM_020151","NM_020151","StAR-related lipid transfer (START) domain containing 7","STARD7","56910","251","378.2","403.9","342.3","290.4"
"50","200029_at","NM_000981","NM_000981","ribosomal protein L19","RPL19","6143","3593.4","4652.7","3910.2","3795.2","5192.4"
"51","200030_s_at","NM_002635","NM_002635","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3","SLC25A3","5250","2189.9","1608.1","1456.3","1451.4","1278.3"
"52","200031_s_at","NM_001015","NM_001015","ribosomal protein S11 /// small nucleolar RNA, C/D box 35B","RPS11 /// SNORD35B","6205 /// 84546","6506.9","7038.3","7887.4","6231.2","7685.6"
"53","200032_s_at","NM_000661","NM_000661","ribosomal protein L9","RPL9","6133","5435.7","6878.5","7822.6","6858","7600.3"
"54","200033_at","NM_004396","NM_004396","DEAD (Asp-Glu-Ala-Asp) box helicase 5 /// microRNA 3064 /// microRNA 5047","DDX5 /// MIR3064 /// MIR5047","1655 /// 100616387 /// 100616408","1765","1757.6","2222.2","1957","1567.2"
"55","200034_s_at","NM_000970","NM_000970","ribosomal protein L6","RPL6","6128","2558.2","2874","3571.3","2778.6","3368.9"
"56","200035_at","NM_015343","NM_015343","CTD nuclear envelope phosphatase 1","CTDNEP1","23399","302.5","288.9","249.4","257.3","361.3"
"57","200036_s_at","NM_007104","NM_007104","ribosomal protein L10a","RPL10A","4736","4031.9","3682.9","4440.1","3480.7","3814.4"
"58","200037_s_at","NM_016587","NM_016587","chromobox homolog 3","CBX3","11335","385.2","453.6","562","614","705.7"
"59","200038_s_at","NM_000985","NM_000985","chromosome 18 open reading frame 32 /// ribosomal protein L17 /// RPL17-C18orf32 readthrough /// small nucleolar RNA, C/D box 58A /// small nucleolar RNA, C/D box 58B /// small nucleolar RNA, C/D box 58C","C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C","6139 /// 26790 /// 26791 /// 497661 /// 100124516 /// 100526842","4715.1","4689.1","4859.2","4424.8","3884.2"
"60","200039_s_at","NM_002794","NM_002794","proteasome (prosome, macropain) subunit, beta type, 2","PSMB2","5690","557.1","565.7","417.3","445.4","513.8"
"61","200040_at","NM_006559","NM_006559","KH domain containing, RNA binding, signal transduction associated 1","KHDRBS1","10657","682.5","682.3","791.6","683.1","711.9"
"62","200041_s_at","NM_004640","NM_004640","ATP6V1G2-DDX39B readthrough (NMD candidate) /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B /// small nucleolar RNA, C/D box 84","ATP6V1G2-DDX39B /// DDX39B /// SNORD84","7919 /// 692199 /// 100532737","1433.1","1910.9","2290.3","1617.1","2062.9"
"63","200042_at","NM_014306","NM_014306","RNA 2',3'-cyclic phosphate and 5'-OH ligase","RTCB","51493","437.4","517.5","386.4","460.6","447.1"
"64","200043_at","NM_004450","NM_004450","enhancer of rudimentary homolog (Drosophila)","ERH","2079","1161","1380.7","1294","1231.2","1066"
"65","200044_at","NM_003769","NM_003769","glutamyl-tRNA(Gln) amidotransferase, subunit C /// serine/arginine-rich splicing factor 9","GATC /// SRSF9","8683 /// 283459","318.4","390.4","332.1","383.9","382.4"
"66","200045_at","NM_001090","NM_001090","ATP-binding cassette, sub-family F (GCN20), member 1","ABCF1","23","266.4","325.9","309.4","310.3","311.5"
"67","200046_at","NM_001344","NM_001344","defender against cell death 1","DAD1","1603","1005.8","722","797.9","680.5","691.5"
"68","200047_s_at","NM_003403","NM_003403","YY1 transcription factor","YY1","7528","390","354.1","383.5","438.6","405.1"
"69","200048_s_at","NM_006694","NM_006694","jumping translocation breakpoint","JTB","10899","680.5","706.8","636.9","728.5","941.4"
"70","200049_at","NM_007067","NM_007067","K(lysine) acetyltransferase 7","KAT7","11143","136.8","161","185","158.9","138.6"
"71","200050_at","NM_007145","NM_007145","zinc finger protein 146","ZNF146","7705","234","288","384","342.4","291.5"
"72","200051_at","NM_005146","NM_005146","squamous cell carcinoma antigen recognized by T cells","SART1","9092","160.7","145.4","163.6","136","204.9"
"73","200052_s_at","NM_004515","NM_004515","interleukin enhancer binding factor 2","ILF2","3608","212","305.6","302.8","300.8","348.9"
"74","200053_at","NM_004890","NM_004890","sperm associated antigen 7","SPAG7","9552","434.7","340.5","381.2","392.5","443.7"
"75","200054_at","NM_003904","NM_003904","ZPR1 zinc finger","ZPR1","8882","94.7","94.7","76.2","62.2","97.8"
"76","200055_at","NM_006284","NM_006284","TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa","TAF10","6881","793.2","494.7","428.6","563.4","649"
"77","200056_s_at","NM_006333","NM_006333","C1D nuclear receptor corepressor","C1D","10438","57","52.8","107.7","71.7","65.6"
"78","200057_s_at","NM_007363","NM_007363","non-POU domain containing, octamer-binding","NONO","4841","1498.5","1390.8","1100.3","1159","1217.7"
"79","200058_s_at","BC001417","BC001417","U5 small nuclear ribonucleoprotein 200 kDa helicase-like /// small nuclear ribonucleoprotein 200kDa (U5)","LOC101929240 /// SNRNP200","23020 /// 101929240","523.2","641.7","708.7","444.6","519.6"
"80","200059_s_at","BC001360","BC001360","ras homolog family member A","RHOA","387","2013.2","1938.3","2097.6","1886.4","1342.1"
"81","200060_s_at","BC001659","BC001659","RNA binding protein S1, serine-rich domain","RNPS1","10921","430.9","505.6","588.6","493.5","499.3"
"82","200061_s_at","BC000523","BC000523","ribosomal protein S24","RPS24","6229","6459.8","7088.9","7707.1","7125.7","8225.3"
"83","200062_s_at","L05095","L05095","ribosomal protein L30","RPL30","6156","5027.7","6363","6824.1","5349.7","5296.3"
"84","200063_s_at","BC002398","BC002398","nucleophosmin (nucleolar phosphoprotein B23, numatrin)","NPM1","4869","3454.8","3011.6","4011.8","2617.7","2709.8"
"85","200064_at","AF275719","AF275719","heat shock protein 90kDa alpha (cytosolic), class B member 1","HSP90AB1","3326","2591.6","2308.5","2277.7","1765.5","1640"
"86","200065_s_at","AF052179","AF052179","ADP-ribosylation factor 1 /// microRNA 3620","ARF1 /// MIR3620","375 /// 100500810","1523","1400.4","1231.8","1424.7","1383.6"
"87","200066_at","AF182645","AF182645","IK cytokine, down-regulator of HLA II","IK","3550","323","293.7","398.1","300.2","337.3"
"88","200067_x_at","AL078596","AL078596","sorting nexin 3","SNX3","8724","467.6","732.3","590.1","703.7","580.7"
"89","200068_s_at","M94859","M94859","calnexin","CANX","821","2006.3","1998.3","1930","1682.5","1602.2"
"90","200069_at","AI656011","AI656011","squamous cell carcinoma antigen recognized by T cells 3","SART3","9733","50","89.1","65.5","96.1","67.4"
"91","200070_at","BC001393","BC001393","cyclin Pas1/PHO80 domain containing 1","CNPPD1","27013","86.7","90.9","104.2","103.3","151.8"
"92","200071_at","BF224259","BF224259","survival motor neuron domain containing 1","SMNDC1","10285","171.9","236.3","220.9","206.1","181"
"93","200072_s_at","AF061832","AF061832","heterogeneous nuclear ribonucleoprotein M","HNRNPM","4670","940.2","656.8","563.2","665","591.1"
"94","200073_s_at","M94630","M94630","heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)","HNRNPD","3184","448.8","481.4","511.8","481.1","429.7"
"95","200074_s_at","U16738","U16738","ribosomal protein L14","RPL14","9045","1439.5","1801.5","2005.3","1318.1","1488.2"
"96","200075_s_at","BC006249","BC006249","guanylate kinase 1","GUK1","2987","479.3","392.9","370.7","489.4","562.8"
"97","200076_s_at","BC006479","BC006479","KxDL motif containing 1","KXD1","79036","336.4","217.4","233.5","271.9","223"
"98","200077_s_at","D87914","D87914","ornithine decarboxylase antizyme 1","OAZ1","4946","2044.2","1581.9","1388.1","1808.3","2042.4"
"99","200078_s_at","BC005876","BC005876","ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b","ATP6V0B","533","227.5","274.9","227.1","312.9","323.1"
"100","200079_s_at","AF285758","AF285758","lysyl-tRNA synthetase","KARS","3735","735.8","539.4","650.3","611.2","759.7"
"101","200080_s_at","AI955655","AI955655","H3 histone, family 3A /// H3 histone, family 3A, pseudogene 4 /// H3 histone, family 3B (H3.3B)","H3F3A /// H3F3AP4 /// H3F3B","3020 /// 3021 /// 440926","1510.4","1718.4","2211.7","2121.3","2206.4"
"102","200081_s_at","BE741754","BE741754","ribosomal protein S6","RPS6","6194","5511.5","5362.7","5486.7","4611.5","4165.3"
"103","200082_s_at","AI805587","AI805587","ribosomal protein S7","RPS7","6201","3157.3","4021","4101","3294.8","2823.6"
"104","200083_at","AA621731","AA621731","ubiquitin specific peptidase 22","USP22","23326","557.5","424","453","450.8","397.4"
"105","200084_at","BE748698","BE748698","chromosome 11 open reading frame 58","C11orf58","10944","809.2","646.3","766","684.2","553"
"106","200085_s_at","NM_007108","NM_007108","transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)","TCEB2","6923","1019.8","678.5","746.9","1170","1475.8"
"107","200086_s_at","AA854966","AA854966","cytochrome c oxidase subunit IV isoform 1","COX4I1","1327","942.3","660.5","732.8","780.6","1029.6"
"108","200087_s_at","AK024976","AK024976","transmembrane emp24 domain trafficking protein 2","TMED2","10959","1275.9","1117.3","1376.1","1060.9","918.4"
"109","200088_x_at","AK026491","AK026491","neurobeachin-like 1 /// ribosomal protein L12","NBEAL1 /// RPL12","6136 /// 65065","5052.2","4778.3","4628.2","4804.6","5799.5"
"110","200089_s_at","AI953886","AI953886","ribosomal protein L4 /// small nucleolar RNA, C/D box 16 /// small nucleolar RNA, C/D box 18A /// small nucleolar RNA, C/D box 18B /// small nucleolar RNA, C/D box 18C","RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C","6124 /// 595097 /// 595098 /// 595099 /// 595100","2336.5","3237","3584.6","2892.5","3426.5"
"111","200090_at","BG168896","BG168896","farnesyltransferase, CAAX box, alpha","FNTA","2339","615.7","752.3","719.9","896.8","916.7"
"112","200091_s_at","AA888388","AA888388","ribosomal protein S25","RPS25","6230","1081.2","1737.3","2760.9","1886.7","2307.1"
"113","200092_s_at","BF216701","BF216701","ribosomal protein L37","RPL37","6167","3297.4","4127.4","4661.8","3778.2","4585.9"
"114","200093_s_at","N32864","N32864","histidine triad nucleotide binding protein 1","HINT1","3094","620.5","469.1","629.9","510.5","487.3"
"115","200094_s_at","AI004246","AI004246","eukaryotic translation elongation factor 2","EEF2","1938","3281.7","2967.7","2290.4","2904.3","3381.9"
"116","200095_x_at","AA320764","AA320764","ribosomal protein S10","RPS10","6204","10952.1","10075.1","10784","9871.7","10654.2"
"117","200096_s_at","AI862255","AI862255","ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1","ATP6V0E1","8992","810.3","426.6","540.5","647.1","636.7"
"118","200097_s_at","AI701949","AI701949","heterogeneous nuclear ribonucleoprotein K","HNRNPK","3190","729.6","824.9","979.2","716.5","557.2"
"119","200098_s_at","T33068","T33068","anaphase promoting complex subunit 5","ANAPC5","51433","382.7","534.6","588.4","554.4","631.5"
"120","200099_s_at","AL356115","AL356115","ribosomal protein S3A /// small nucleolar RNA, C/D box 73A","RPS3A /// SNORD73A","6189 /// 8944","5227.7","6200.2","6530","5649.2","5997.6"
"121","200593_s_at","BC003621","BC003621","heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)","HNRNPU","3192","624.8","523","433.5","354.5","324.2"
"122","200594_x_at","NM_004501","NM_004501","heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)","HNRNPU","3192","1006.8","883.3","908","894","817.7"
"123","200595_s_at","NM_003750","NM_003750","eukaryotic translation initiation factor 3, subunit A","EIF3A","8661","365.1","450.3","504.2","611.9","479.1"
"124","200596_s_at","BE614908","BE614908","eukaryotic translation initiation factor 3, subunit A","EIF3A","8661","461.4","197.6","178.3","221.3","203.4"
"125","200597_at","AI123320","AI123320","eukaryotic translation initiation factor 3, subunit A","EIF3A","8661","132.1","143.8","209.9","173.2","157.9"
"126","200598_s_at","AI582238","AI582238","heat shock protein 90kDa beta (Grp94), member 1 /// microRNA 3652","HSP90B1 /// MIR3652","7184 /// 100500842","510.2","289.9","355.7","298.3","199.2"
"127","200599_s_at","NM_003299","NM_003299","heat shock protein 90kDa beta (Grp94), member 1 /// microRNA 3652","HSP90B1 /// MIR3652","7184 /// 100500842","1171.5","976.3","1371","1251.8","1308.2"
"128","200600_at","NM_002444","NM_002444","moesin","MSN","4478","937.9","862.7","815.2","706.8","876.9"
"129","200601_at","U48734","U48734","actinin, alpha 4","ACTN4","81","1211.6","1630","1525.1","1593.3","1541.7"
"130","200602_at","NM_000484","NM_000484","amyloid beta (A4) precursor protein","APP","351","96.8","210.4","398.6","240.7","354.8"
"131","200603_at","AL050038","AL050038","protein kinase, cAMP-dependent, regulatory, type I, alpha","PRKAR1A","5573","602.1","829.7","875.4","1028.7","793.3"
"132","200604_s_at","M18468","M18468","protein kinase, cAMP-dependent, regulatory, type I, alpha","PRKAR1A","5573","893.5","200.1","235.9","186","72.8"
"133","200605_s_at","NM_002734","NM_002734","protein kinase, cAMP-dependent, regulatory, type I, alpha","PRKAR1A","5573","1070.6","708.9","706.9","780.1","231.2"
"134","200606_at","NM_004415","NM_004415","desmoplakin","DSP","1832","42","63.4","57.5","63","64"
"135","200607_s_at","BG289967","BG289967","RAD21 homolog (S. pombe)","RAD21","5885","170.9","158.9","203.3","132.9","68.6"
"136","200608_s_at","NM_006265","NM_006265","RAD21 homolog (S. pombe)","RAD21","5885","138.4","279.6","496.8","332.5","252.2"
"137","200609_s_at","NM_017491","NM_017491","WD repeat domain 1","WDR1","9948","1160.1","785.6","801.4","551.2","658.8"
"138","200610_s_at","NM_005381","NM_005381","nucleolin","NCL","4691","1029.7","896.1","893","836.1","1088.1"
"139","200611_s_at","AB010427","AB010427","WD repeat domain 1","WDR1","9948","975","718","662.6","595.6","537.5"
"140","200612_s_at","NM_001282","NM_001282","adaptor-related protein complex 2, beta 1 subunit","AP2B1","163","144.3","248.6","192.2","218.4","256.3"
"141","200613_at","NM_004068","NM_004068","adaptor-related protein complex 2, mu 1 subunit","AP2M1","1173","1003.6","783.5","595.9","811.9","871.5"
"142","200614_at","NM_004859","NM_004859","clathrin, heavy chain (Hc)","CLTC","1213","2144.2","1459","1513.9","1673","1786.5"
"143","200615_s_at","AL567295","AL567295","adaptor-related protein complex 2, beta 1 subunit","AP2B1","163","240","135.3","121.6","166.6","146.3"
"144","200616_s_at","BC000371","BC000371","malectin","MLEC","9761","140.3","162.9","68.2","80.2","141.8"
"145","200617_at","NM_014730","NM_014730","malectin","MLEC","9761","358.8","279.7","317.2","380.5","455.7"
"146","200618_at","NM_006148","NM_006148","LIM and SH3 protein 1","LASP1","3927","330.1","297","278","355.7","410.7"
"147","200619_at","NM_006842","NM_006842","splicing factor 3b, subunit 2, 145kDa","SF3B2","10992","408.6","291.7","170.9","232","297.9"
"148","200620_at","NM_004872","NM_004872","transmembrane protein 59","TMEM59","9528","742.5","799.4","845.3","899.4","700.1"
"149","200621_at","NM_004078","NM_004078","cysteine and glycine-rich protein 1","CSRP1","1465","6650.1","6492.5","5787.2","7051.9","8332.6"
"150","200622_x_at","AV685208","AV685208","calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)","CALM1 /// CALM2 /// CALM3","801 /// 805 /// 808","163.1","208.4","90","125.8","157.9"
"151","200623_s_at","NM_005184","NM_005184","calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)","CALM1 /// CALM2 /// CALM3","801 /// 805 /// 808","395.3","353.5","306.1","397.7","454.2"
"152","200624_s_at","AA577695","AA577695","matrin 3 /// small nucleolar RNA host gene 4 (non-protein coding)","MATR3 /// SNHG4","9782 /// 724102","642.7","465.9","776","561.2","191.1"
"153","200625_s_at","NM_006367","NM_006367","CAP, adenylate cyclase-associated protein 1 (yeast)","CAP1","10487","1541.3","939.5","1129.2","1339.3","1460.7"
"154","200626_s_at","NM_018834","NM_018834","matrin 3 /// small nucleolar RNA host gene 4 (non-protein coding)","MATR3 /// SNHG4","9782 /// 724102","493.9","741.2","1123","655.8","635.2"
"155","200627_at","BC003005","BC003005","prostaglandin E synthase 3 (cytosolic)","PTGES3","10728","850.3","1030.1","1292.2","887.8","816"
"156","200628_s_at","M61715","M61715","tryptophanyl-tRNA synthetase","WARS","7453","132.9","96.8","106.6","17.8","57.8"
"157","200629_at","NM_004184","NM_004184","tryptophanyl-tRNA synthetase","WARS","7453","160.5","154.8","200.3","160.7","202.8"
"158","200630_x_at","AV702810","AV702810","SET nuclear proto-oncogene /// SET-like protein","SET /// SETSIP","6418 /// 646817","1507.3","1681.2","1708","1381.6","1734"
"159","200631_s_at","NM_003011","NM_003011","SET nuclear proto-oncogene /// SET-like protein","SET /// SETSIP","6418 /// 646817","1119.3","1058.7","1262.3","993.2","952.6"
"160","200632_s_at","NM_006096","NM_006096","N-myc downstream regulated 1","NDRG1","10397","343.1","304.6","262.7","235.6","273.3"
"161","200633_at","NM_018955","NM_018955","ubiquitin B","UBB","7314","4650.5","3378.8","4299.5","3947.3","4641.3"
"162","200634_at","NM_005022","NM_005022","profilin 1","PFN1","5216","1418.9","1863.2","1393.9","1857","2231.7"
"163","200635_s_at","AU145351","AU145351","protein tyrosine phosphatase, receptor type, F","PTPRF","5792","35.3","133.1","119.4","60.7","64.7"
"164","200636_s_at","NM_002840","NM_002840","protein tyrosine phosphatase, receptor type, F","PTPRF","5792","84.3","352.7","339.8","165.5","163.9"
"165","200637_s_at","AI762627","AI762627","protein tyrosine phosphatase, receptor type, F","PTPRF","5792","74.2","132.7","99.3","77.6","58.7"
"166","200638_s_at","BC003623","BC003623","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta","YWHAZ","7534","724.3","628","740.4","614.9","349.2"
"167","200639_s_at","NM_003406","NM_003406","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta","YWHAZ","7534","778.8","1091.2","1049.3","991.5","1261.5"
"168","200640_at","NM_003406","NM_003406","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta","YWHAZ","7534","1243.5","1395.4","1442.1","1109.9","1007.9"
"169","200641_s_at","U28964","U28964","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta","YWHAZ","7534","768.6","531","479","398.1","183.2"
"170","200642_at","NM_000454","NM_000454","superoxide dismutase 1, soluble","SOD1","6647","1217.5","1334.6","1413.8","1087.2","1277.4"
"171","200643_at","NM_005336","NM_005336","high density lipoprotein binding protein","HDLBP","3069","628.7","487.1","463.1","619.6","748.6"
"172","200644_at","NM_023009","NM_023009","MARCKS-like 1","MARCKSL1","65108","779","515.4","387.7","409.6","432"
"173","200645_at","NM_007278","NM_007278","GABA(A) receptor-associated protein","GABARAP","11337","1736.3","1175.9","1242.8","1447.8","1642"
"174","200646_s_at","NM_006184","NM_006184","nucleobindin 1","NUCB1","4924","307.7","120.5","128.6","141","180.8"
"175","200647_x_at","NM_003752","NM_003752","eukaryotic translation initiation factor 3, subunit C /// eukaryotic translation initiation factor 3, subunit C-like","EIF3C /// EIF3CL","8663 /// 728689","1091","551.2","699.4","775.1","961.1"
"176","200648_s_at","NM_002065","NM_002065","glutamate-ammonia ligase","GLUL","2752","385.4","119.6","112.3","108.5","30.3"
"177","200649_at","BC002356","BC002356","nucleobindin 1","NUCB1","4924","602.9","318.9","240.8","411.8","462.9"
"178","200650_s_at","NM_005566","NM_005566","lactate dehydrogenase A","LDHA","3939","1752.5","1357.1","1253","1417.4","1631.1"
"179","200651_at","NM_006098","NM_006098","guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 /// small nucleolar RNA, C/D box 95 /// small nucleolar RNA, C/D box 96A","GNB2L1 /// SNORD95 /// SNORD96A","10399 /// 619570 /// 619571","2935.4","3123.6","3130.6","3078.4","3407.9"
"180","200652_at","NM_003145","NM_003145","signal sequence receptor, beta (translocon-associated protein beta)","SSR2","6746","1260.8","925.2","898.1","990.7","1183.8"
"181","200653_s_at","M27319","M27319","calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)","CALM1 /// CALM2 /// CALM3","801 /// 805 /// 808","527.6","558.7","552.9","804.5","910.9"
"182","200654_at","J02783","J02783","prolyl 4-hydroxylase, beta polypeptide","P4HB","5034","2076.7","1227.2","872.5","1341.2","1789.8"
